Category,English,Turkish
Dining,Where is there a doctor who speaks English?,İngilizce konuşan bir doktor nerede var?
Dining,Which one?,Hangisi?
Dining,Would you ask him to come here?,Buraya gelmesini ister misin?
Dining,Would you like a glass of water?,Bir bardak su ister misin?
Dining,Would you like coffee or tea?,Kahve mi yoksa çay mı istersiniz?
Dining,Would you like something to drink?,Bir şey içmek ister misiniz?
Dining,Would you like some water?,Biraz su ister misiniz?
Dining,Would you like some wine?,Biraz şarap istermisin?
Dining,Would you like to go for a walk?,Yürüyüşe çıkmak ister misiniz?
Dining,Would you like to watch TV?,Televizyon izlemek ister misin?
Making friends,Are you American?,Amerikan mısın?
Making friends,Are you coming this evening?,Bu akşam geliyor musun?
Making friends,Are you free tonight?,Bu gece boş musun?
Making friends,Are you going to take a plane or train?,Uçağa mı yoksa trene mi bineceksiniz?
Making friends,Are you hungry?,Aç mısın?
Making friends,Are you sure?,Emin misin?
Making friends,Are you working Tomorrow?,Yarın çalışıyor musun?
Making friends,Business is good.,İş iyidir.
Making friends,Cheers!,Şerefe!
Making friends,Did it snow yesterday?,Dün kar yağdı mı?
Making friends,Did you get my email?,E-postamı aldın mı?
Making friends,Did you take your medicine?,İlaçlarını aldın mı?
Making friends,Do you feel better?,Daha iyi hissediyormusun?
Making friends,Do you go to Florida often?,Florida'ya sık sık gider misin?
Making friends,Do you have another one?,Sende başka var mı?
Making friends,Do you know where there's a store that sells towels?,Havlu satan bir mağazanın nerede olduğunu biliyor musun?
Making friends,Do you like it here?,Burayı beğendin mi?
Making friends,Do you like the book?,Kitabı beğendin mi?
Making friends,Do you need anything?,Bir şeye ihtiyacın var mı?
Making friends,Do you play any sports?,Herhangi bir spor yapıyor musunuz?
Making friends,Do you sell medicine? (store),İlaç mı satıyorsunuz? (mağaza)
Making friends,Do you study English?,Ingilizce çalışıyor musun?
Making friends,Do you want to come with me?,Benimle gelmek ister misin?
Making friends,Do you want to go with me?,Benimle gitmek ister misin?
Making friends,Excuse me.,Affedersin.
Making friends,Give me a call.,Beni ara.
Making friends,Has your brother been to California?,Kardeşin Kaliforniya'ya gitti mi?
Making friends,Have they met her yet?,Onunla henüz tanışmadılar mı?
Making friends,Have you done this before?,Bunu daha önce yaptın mı?
Making friends,How long have you been here?,Ne zamandır buradasın?
Making friends,How long have you been in America?,Ne zamandır Amerika'dasın?
Making friends,How long have you lived here?,Ne kadar zamandır burada yaşıyorsun?
Making friends,How many children do you have?,Kaç çocuğun var?
Making friends,How many languages do you speak?,Kaç dili konuşabiliyorsun?
Making friends,How many people do you have in your family?,Ailenizde kaç kişi var?
Making friends,How much would you like?,Ne kadar istersin?
Making friends,How old are you?,Kaç yaşındasın?
Making friends,I bought a shirt yesterday.,Dün bir gömlek aldım.
Making friends,I don't feel well.,Kendimi iyi hissetmiyorum.
Making friends,I have pain in my arm.,Kolumda ağrı var.
Making friends,I have to wash my clothes.,Elbiselerimi yıkamam gerekiyor.
Making friends,I have two sisters.,İki kız kardeşim var.
Making friends,I'll tell him you called.,Ona aradığını söyleyeceğim.
Making friends,I'm 32.,Ben 32 yaşındayım.
Making friends,"I'm 6'2"".",Ben 1.92 boyundayım.
Making friends,I'm allergic to seafood.,Deniz ürünlerine alerjim var.
Making friends,I'm American.,Ben Amerikalıyım.
Making friends,I'm a size 8.,Ben 8 bedenim.
Making friends,"I'm fine, and you?",İyiyim sen nasılsın?
Making friends,I'm not afraid.,Korkmuyorum.
Making friends,I'm sick.,Hastayım.
Making friends,I remember.,Ben hatırlıyorum.
Making friends,I speak a little English.,Biraz İngilizce konuşurum.
Making friends,Is your house like this one?,Sizin eviniz buna mı benziyor?
Making friends,Is your husband also from Boston?,Kocanız da Bostonlu mu?
Making friends,It's not very expensive.,Çok pahalı değil.
Making friends,I've been there.,Ben orada oldum.
Making friends,Let's share.,Haydi paylaşalım.
Making friends,My daughter is here.,Kızım burada.
Making friends,My father has been there.,Babam oradaydı.
Making friends,My father is a lawyer.,Babam avukattır.
Making friends,My grandmother passed away last year.,Büyükannem geçen yıl vefat etti.
Making friends,My name is John Smith.,Benim adım John Smith.
Making friends,My son.,Oğlum.
Making friends,My son studies computers.,Oğlum bilgisayar okuyor.
Making friends,"No, I'm American.","Hayır, Amerikalıyım."
Making friends,"No, this is the first time.","Hayır, bu ilk defa oluyor."
Making friends,Our children are in America.,Çocuklarımız Amerika'da.
Making friends,She's an expert.,O bir uzman.
Making friends,She's older than me.,O benden daha yaşlı.
Making friends,That car is similar to my car.,Bu araba benim arabama benziyor.
Making friends,This is Mrs. Smith.,Bu Bayan Smith.
Making friends,This is my mother.,Bu benim annem.
Making friends,This is the first time I've been here.,Buraya ilk defa geliyorum.
Making friends,We have two boys and one girl.,İki erkek ve bir kız çocuğumuz var.
Making friends,What are you going to do tonight?,Bu gece ne yapacaksın?
Making friends,What are your hobbies?,Hobileriniz nelerdir?
Making friends,What do you study?,Ne okuyorsun?
Making friends,What do you want to do?,Ne yapmak istiyorsun?
Making friends,What school did you go to?,Hangi okula gittin?
Making friends,What's your favorite movie?,En sevdiğin film nedir?
Making friends,What's your last name?,Soyadın ne?
Making friends,What's your name?,Adınız ne?
Making friends,Where are the t-shirts?,Tişörtler nerede?
Making friends,Where did you go?,Nereye gittin?
Making friends,Where did you learn English?,İngilizceyi nerede öğrendin?
Making friends,Where did you work before you worked here?,Burada çalışmadan önce nerede çalışıyordunuz?
Making friends,Where do you live?,Nerede yaşıyorsun
Making friends,Where were you?,Neredeydin?
Making friends,Who sent this letter?,Bu mektubu kim gönderdi?
Making friends,Would you like to buy this?,Bunu satın almak ister misin?
Making friends,Your children are very well behaved.,Çocuklarınız çok iyi huylu.
Making friends,Your daughter.,Senin kızın.
Making friends,You're smarter than him.,Sen ondan daha akıllısın.
Making friends,You speak English very well.,Çok iyi ingilizce konuşuyorsun.
Entertainment,Are there any concerts?,Konserler var mı?
Entertainment,Do you want to go to the movies?,Sinemaya gitmek ister misin?
Entertainment,Have you seen this movie?,Bu filmi gördün mü?
Entertainment,He said you like to watch movies.,Film izlemeyi sevdiğini söyledi.
Entertainment,How tall are you?,Boyunuz kaç?
Entertainment,Is the bank far?,Banka uzakta mı?
Entertainment,Is there a movie theater nearby?,Yakınlarda bir sinema salonu var mı?
Entertainment,What do people usually do in the summer in Los Angeles?,Los Angeles'ta insanlar yaz aylarında genellikle ne yapar?
Entertainment,What kind of music do you like?,Ne tür müzik seversin?
Entertainment,What's your favorite food?,Senin favori yemeğin ne?
Entertainment,What time does the movie start?,Film ne zaman başlıyor?
Entertainment,Who was your teacher?,Öğretmenin kimdi?
Entertainment,Would you like to have dinner with me?,Benimle akşam yemeği yemek ister misin?
Entertainment,Would you like to rent a movie?,Film kiralamak ister misiniz?
Shopping,Can I have a glass of water please?,Bir bardak su alabilir miyim lütfen?
Shopping,Can I use your phone?,Telefonunu kullanabilir miyim?
Shopping,Do you have any vacancies?,Boş yeriniz var mı?
Shopping,Do you have the number for a taxi?,Taksinin numarası var mı?
Shopping,Do you know her?,Onu tanıyor musun?
Shopping,Do you know where she is?,Nerede olduğunu biliyor musun?
Shopping,Do you play basketball?,Basketbol oynar mısın?
Shopping,"Fill it up, please. (gas station)",Doldurun lütfen. (gaz istasyonu)
Shopping,He needs some new clothes.,Yeni kıyafetlere ihtiyacı var.
Shopping,How much is that?,O ne kadar?
Shopping,How much is this?,Bu ne kadar?
Shopping,I believe you.,Sana inanıyorum.
Shopping,I'd like the number for the Hilton Hotel please.,Hilton Oteli'nin numarasını rica ediyorum.
Shopping,I'd like to buy a phone card please.,Bir telefon kartı satın almak istiyorum lütfen.
Shopping,I'd like to go home.,Eve gitmek isterim.
Shopping,I'd like to go shopping.,Alışverişe gitmek isterim.
Shopping,If you like it I can buy more.,Eğer beğenirseniz daha fazlasını satın alabilirim.
Shopping,I'm a beginner.,Acemiyim.
Shopping,I'm full.,Tokum.
Shopping,I'm just kidding.,Sadece şaka yapıyorum.
Shopping,I'm single.,Bekarım.
Shopping,I speak two languages.,İki dil konuşuyorum.
Shopping,I thought he said something else.,Başka bir şey söylediğini sanıyordum.
Shopping,It's not too far.,Çok uzak değil.
Shopping,I usually drink coffee at breakfast.,Genellikle kahvaltıda kahve içerim.
Shopping,"Sorry, we don't have any.","Üzgünüm, elimizde hiç yok."
Shopping,The books are expensive.,Kitaplar pahalı.
Shopping,Try it on.,Deneyin.
Shopping,What do you want to buy?,Ne almak istiyorsun?
Shopping,What size?,Hangi boyutta?
Shopping,What time does the store open?,Mağaza saat kaçta açılıyor?
Shopping,When does the plane arrive?,Uçak ne zaman geliyor?
Shopping,Where are you?,Neredesin?
Shopping,Would you like something to eat?,Bir şey yemek ister misin?
Communication difficulties,Am I pronouncing it correctly?,Doğru telaffuz ediyor muyum?
Communication difficulties,Can you do me a favor?,Bana bir iyilik yapabilir misin?
Communication difficulties,Can you help me?,Bana yardım eder misiniz?
Communication difficulties,Can you please say that again?,Lütfen bunu tekrar söyleyebilir misiniz?
Communication difficulties,Can you show me?,Bana gösterebilir misin?
Communication difficulties,Can you throw that away for me?,Bunu benim için bir kenara atabilir misin?
Communication difficulties,Does anyone here speak English?,Burada İngilizce konuşan var mı?
Communication difficulties,Don't do that.,Bunu yapma.
Communication difficulties,Do you believe that?,Buna inanıyor musun?
Communication difficulties,Do you have a pencil?,Kalemin var mı?
Communication difficulties,Do you smoke?,Sigara içiyor musunuz?
Communication difficulties,Do you speak English?,İngilizce biliyor musunuz?
Communication difficulties,"Excuse me, what did you say?","afedersin, ne söyledin?"
Communication difficulties,Forget it.,Unut gitsin.
Communication difficulties,How do you pronounce that?,Bunu nasıl telaffuz edersin?
Communication difficulties,How do you say it in English?,Bunu İngilizce'de nasıl söylersin?
Communication difficulties,How do you spell it?,Bunu nasıl hecelersiniz?
Communication difficulties,"How do you spell the word ""Seattle?""","""Seattle"" kelimesini nasıl hecelersin?"
Communication difficulties,I can swim.,Yüzebilirim.
Communication difficulties,I can't hear you clearly.,Seni net olarak duyamıyorum.
Communication difficulties,I don't mind.,Umurumda değil.
Communication difficulties,I don't speak English very well.,İngilizceyi çok iyi konuşamıyorum.
Communication difficulties,I don't think so.,Öyle düşünmüyorum.
Communication difficulties,I don't understand what your saying.,Ne dediğini anlamıyorum.
Communication difficulties,Is there air conditioning in the room?,Odada klima var mı?
Communication difficulties,I think you have too many clothes.,Bence çok fazla kıyafetin var.
Communication difficulties,I trust you.,Sana güveniyorum.
Communication difficulties,I understand now.,Şimdi anlıyorum.
Communication difficulties,Let's meet in front of the hotel.,Otelin önünde buluşalım.
Communication difficulties,Please sit down.,Lütfen otur.
Communication difficulties,Please speak English.,Lütfen İngilizce konuşun.
Communication difficulties,Please speak more slowly.,Lütfen biraz daha yavaş konuşun.
Communication difficulties,"Sorry, I didn't hear clearly.",Kusura bakmayın net duyamadım.
Communication difficulties,That means friend.,Bu arkadaş demektir.
Communication difficulties,That's wrong.,Bu yanlış.
Communication difficulties,Try to say it.,Söylemeye çalış.
Communication difficulties,What does this mean?,Bu ne anlama gelir?
Communication difficulties,What does this say?,Bu ne diyor?
Communication difficulties,What does this word mean?,Bu kelimenin anlamı nedir?
Communication difficulties,What's the exchange rate?,Döviz kuru nedir?
Communication difficulties,Whose book is that?,Bu kimin kitabı?
Communication difficulties,Why aren't you going?,Neden gitmiyorsun?
Communication difficulties,Why are you laughing?,Niye gülüyorsun?
Communication difficulties,Why did you do that?,Neden bunu yaptın?
Emergency and health,Are you allergic to anything?,Bir şeye alerjin var mı?
Emergency and health,Are you ready?,Hazır mısın?
Emergency and health,Call me.,Ara beni.
Emergency and health,Did you send me flowers?,Bana çiçek mi gönderdin?
Emergency and health,Do you sell batteries?,Pil satıyor musunuz?
Emergency and health,I don't care.,Umurumda değil.
Emergency and health,I give up.,Pes ediyorum.
Emergency and health,I got in an accident.,Bir kaza geçirdim.
Emergency and health,I have a cold.,Soğuk algınlığım var.
Emergency and health,I have one in my car.,Arabamda bir tane var.
Emergency and health,I made this cake.,Bu pastayı yaptım.
Emergency and health,I'm a teacher.,Ben bir öğretmenim.
Emergency and health,I'm self-employed.,Kendi işimde çalışıyorum.
Emergency and health,I still have a lot to do.,Hala yapacak çok şeyim var.
Emergency and health,I still haven't decided.,Hala karar vermedim.
Emergency and health,It depends on the weather.,Havaya bağlı.
Emergency and health,It's very cold today.,Bugün hava çok soğuk.
Emergency and health,My luggage is missing.,Bagajım kayıp.
Emergency and health,My stomach hurts.,Karnım ağrıyor.
Emergency and health,My throat is sore.,Boğazım ağrıyor.
Emergency and health,My watch has been stolen.,Saatim çalındı.
Emergency and health,Take this medicine.,Bu ilacı al.
Emergency and health,The accident happened at the intersection.,Kaza kavşakta meydana geldi.
Emergency and health,There has been a car accident.,Bir araba kazası oldu.
Emergency and health,Where can I exchange U.S. dollars?,ABD dolarını nerede bozdurabilirim?
Emergency and health,Where do you work?,Nerede çalışıyorsun?
Emergency and health,Where's the nearest hospital?,En yakın hastane nerede?
Emergency and health,Where's the post office?,Postane nerede?
General questions,And you?,Ve sen?
General questions,Anything else?,Başka bir şey?
General questions,Are they the same?,Bunlar aynı mı?
General questions,Are you afraid?,Korkuyor musun?
General questions,Are you going to attend their wedding?,Düğünlerine katılacak mısın?
General questions,Are you married?,Evli misin?
General questions,Are you okay?,İyi misin?
General questions,Are you sick?,Hasta mısın?
General questions,Behind the bank.,Bankanın arkasında.
General questions,Can I borrow some money?,Biraz para ödünç alabilir miyim?
General questions,Can I have the bill please?,Faturayı alabilir miyim lütfen?
General questions,Can you call back later?,Daha sonra arayabilir misin?
General questions,Can you call me back later?,Beni daha sonra arayabilir misin?
General questions,Can you carry this for me?,Bunu benim için taşıyabilir misin?
General questions,Can you fix this?,Bunu düzeltebilir misin?
General questions,Can you give me an example?,Bana bir örnek verebilirmisin?
General questions,Can you speak louder please?,Daha yüksek sesle konuşabilir misiniz lütfen?
General questions,Can you swim?,Yüzebilir misin?
General questions,Does he like the school?,Okulu seviyor mu?
General questions,Do you accept U.S. Dollars?,ABD Dolarını kabul ediyor musunuz?
General questions,Do you have a girlfriend?,Senin kız arkadaşın var mı?
General questions,Do you have an appointment?,Randevun var mı?
General questions,Do you have a problem?,Bir sorun mu var?
General questions,Do you hear that?,Bunu duyuyor musun?
General questions,Do you know how to get to the Marriott Hotel?,Marriott Otel'e nasıl gideceğinizi biliyor musunuz?
General questions,Do you know what this means?,Bunun ne anlama geldiğini biliyor musun?
General questions,Do you know where I can get a taxi?,Nereden taksi bulabileceğimi biliyor musun?
General questions,Do you know where my glasses are?,Gözlüklerimin nerede olduğunu biliyor musun?
General questions,Do you like your co-workers?,İş arkadaşlarınızı seviyor musunuz?
General questions,Do you need anything else?,Başka bir şeye ihtiyacın var mı?
General questions,Do you understand?,Anlıyor musunuz?
General questions,Give me the pen.,Bana tükenmez kalemi ver.
General questions,How do you know?,Nereden biliyorsunuz?
General questions,How is she?,O nasıl?
General questions,How long is it?,Ne kadar uzun?
General questions,How many?,Kaç tane?
General questions,How much is it?,Ne kadar?
General questions,I have a lot of things to do.,Yapacak çok işim var.
General questions,In 30 minutes.,30 dakika içinde.
General questions,Is anyone else coming?,Başka biri geliyor mu?
General questions,Is everything ok?,Her şey yolunda mı?
General questions,Is it cold outside?,Dışarısı soğuk?
General questions,Is it far from here?,Buraya uzak mı?
General questions,Is it hot?,Sıcak mı?
General questions,Is it raining?,Yağmur yağıyor mu?
General questions,Is there anything cheaper?,Daha ucuz bir şey var mı?
General questions,Is your son here?,Oğlunuz burada mı?
General questions,Should I wait?,Bekleyeyim mi?
General questions,The big one or the small one?,Büyük olan mı yoksa küçük olan mı?
General questions,The cars are American.,Arabalar Amerikan malı.
General questions,Were there any problems?,Herhangi bir sorun var mıydı?
General questions,Were you at the library last night?,Dün gece kütüphanede miydin?
General questions,What are you doing?,Ne yapıyorsun?
General questions,What are you thinking about?,Ne hakkında düşünüyorsun?
General questions,What are you two talking about?,Siz ikiniz neden bahsediyorsunuz?
General questions,What did you do last night?,Dün gece ne yaptın?
General questions,What did you do yesterday?,Dün ne yaptın?
General questions,What did you think?,Ne sandın?
General questions,What do they study?,Ne okuyorlar?
General questions,What do you have?,Neye sahipsin?
General questions,What do you think?,Ne düşünüyorsun?
General questions,What happened?,Ne oldu?
General questions,What is it?,Nedir?
General questions,What is that?,Bu nedir?
General questions,What should I wear?,Ne giymeliyim?
General questions,What's in it?,İçinde ne var?
General questions,What's the temperature?,Sıcaklık kaç derece?
General questions,What's this?,Bu ne?
General questions,What's up?,Naber?
General questions,Where are you from?,Nerelisin
General questions,Where can I rent a car?,Nereden araba kiralayabilirim?
General questions,Where did it happen?,Nerede oldu?
General questions,Where did you learn it?,Nereden öğrendin?
General questions,Where is he?,O nerede?
General questions,Where is he from?,O nereli?
General questions,"Which is better, the spaghetti or chicken salad?",Hangisi daha iyi; spagetti mi yoksa tavuk salatası mı?
General questions,Which one do you want?,Hangisini istersin?
General questions,Which one is cheaper?,Hangisi daha ucuz?
General questions,Which one is the best?,Hangisi en iyisi?
General questions,Which school does he go to?,Hangi okula gidiyor?
General questions,Who are they?,Onlar kim?
General questions,Who are you looking for?,Kimi arıyorsunuz?
General questions,Who is it? (Inquiring about who is on the phone),Kim o? (Telefondakinin kim olduğu soruluyor)
General questions,Who's calling?,Kim arıyor?
General questions,Who's that man over there?,Şuradaki adam kim?
General questions,Who taught you that?,Bunu sana kim öğretti?
General questions,Why did you say that?,Bunu neden söyledin?
General questions,Will you pass me the salt please?,Bana tuzu uzatır mısın lütfen?
General questions,Will you put this in the car for me?,Bunu benim için arabaya koyar mısın?
General questions,Would you ask him to call me back please?,Beni geri aramasını söyler misiniz lütfen?
General questions,Yes.,Evet.
General questions,You have a very nice car.,Çok güzel bir araban var.
General questions,You look like my sister.,Kız kardeşime benziyorsun.
Work,6 dollars per hour.,Saati 6 dolar.
Work,Are you waiting for someone?,Birini mi bekliyorsun?
Work,Are you working today?,Bugün çalışıyor musun?
Work,Bring me my shirt please.,Gömleğimi getir lütfen.
Work,Do you like to watch TV?,Televizyon izlemeyi sever misin?
Work,Do you like your boss?,Patronunu seviyor musun?
Work,Have you finished studying?,Çalışmayı bitirdin mi?
Work,He's an Engineer.,O bir mühendis.
Work,He's very hard working.,Çok çalışkandır.
Work,He works at a computer company in New York.,New York'ta bir bilgisayar şirketinde çalışıyor.
Work,How long have you worked here?,Burada ne kadar süredir çalışıyorsun?
Work,How many hours a week do you work?,Haftada kaç saat çalışıyorsunuz?
Work,How much money do you have?,Ne kadar paran var?
Work,How's the weather?,Hava nasıl?
Work,How was the trip?,Yolculuk nasil gecti?
Work,I forget.,Unuttum.
Work,I'm good.,İyiyim.
Work,I'm ready.,Ben hazırım.
Work,I still have a lot of things to buy.,Hala satın almam gereken çok şey var.
Work,I've seen it.,Onu gördüm.
Work,What does he do for work?,İş için ne yapıyor?
Work,What does your father do for work?,Baban iş olarak ne yapıyor?
Work,What do you do for work?,İş için ne yaparsınız?
Work,What do your parents do for work?,Anne babanız iş için ne yapıyor?
Work,What's the matter?,Sorun ne?
Work,What time do you go to work everyday?,Her gün saat kaçta işe gidiyorsun?
Work,When do you arrive in the U.S.?,ABD'ye ne zaman varıyorsunuz?
Work,When do you get off work?,İşten ne zaman çıkıyorsun?
Work,Where did you put it?,Onu nereye koydun?
Work,Where does it hurt?,Neresi acıyor?
Work,Where do you want to go?,Nereye gitmek istersin?
Weather,Come here.,Buraya gel.
Weather,Does it often snow in the winter in Massachusetts?,Massachusetts'te kışın sık sık kar yağar mı?
Weather,Do you think it'll rain today?,Sizce bugün yağmur yağacak mı?
Weather,Do you think it's going to rain tomorrow?,Yarın yağmur yağacağını mı düşünüyorsun?
Weather,How's business?,İşler nasıl?
Weather,Is it close?,Kapalı mı?
Weather,Is it possible?,Bu mümkün mü?
Weather,Is it ready?,Hazır mı?
Weather,It costs 20 dollars per hour.,Saatlik ücreti 20 dolar.
Weather,It hurts here.,Burası acıyor.
Weather,It's far from here.,Buradan uzak.
Weather,It's going to be hot today.,Bugün hava sıcak olacak.
Weather,It's north of here.,Buranın kuzeyinde.
Weather,It's over there.,Orada.
Weather,It's raining.,Yağmur yağıyor.
Weather,It's too late.,Çok geç.
Weather,It's very important.,Bu çok önemli.
Weather,It will arrive shortly.,Kısa süre içinde gelecek.
Weather,The roads are slippery.,Yollar kaygan.
Weather,What's the room rate?,Oda fiyatı ne kadar?
Weather,What will the weather be like tomorrow?,Yarın hava nasıl olacak?
Miscellaneous,Amy is John's girlfriend.,"Amy, John'un kız arkadaşıdır."
Miscellaneous,He always does that for me.,Bunu benim için hep yapıyor.
Miscellaneous,He broke the window.,Camı kırdı.
Miscellaneous,He doesn't look like a nurse.,Hemşireye benzemiyor.
Miscellaneous,He has a nice car.,Güzel bir arabası var.
Miscellaneous,He never gives me anything.,Bana asla bir şey vermiyor.
Miscellaneous,He said this is a nice place.,Buranın güzel bir yer olduğunu söyledi.
Miscellaneous,He's an American.,O bir Amerikalı.
Miscellaneous,He's a very good student.,Kendisi çok iyi bir öğrencidir.
Miscellaneous,He's faster than me.,O benden daha hızlı.
Miscellaneous,He thinks we don't want to go.,Gitmek istemediğimizi düşünüyor.
Miscellaneous,His room is very small.,Onun odası çok küçüktür.
Miscellaneous,His son.,Onun oğlu.
Miscellaneous,How are your parents?,Ebeveynlerin nasıl?
Miscellaneous,How do I use this?,Bunu nasıl kullanırım?
Miscellaneous,I came with my family.,Ailemle birlikte geldim.
Miscellaneous,I'd like to exchange this for Dollars.,Bunu Dolara çevirmek istiyorum.
Miscellaneous,I'd like to use the internet,İnterneti kullanmak istiyorum
Miscellaneous,I don't have time right now.,Şu anda vaktim yok.
Miscellaneous,I don't know.,Bilmiyorum.
Miscellaneous,I have money.,Param var.
Miscellaneous,I haven't had lunch yet.,Henüz öğle yemeği yemedim.
Miscellaneous,I have to go to the post office.,Postaneye gitmem gerekiyor.
Miscellaneous,I like Italian food.,İtalyan yemeklerini severim.
Miscellaneous,I live in California.,Kaliforniya'da yaşıyorum.
Miscellaneous,I'll talk to you soon.,Seninle yakında konuşacağım.
Miscellaneous,I made a mistake.,Bir hata yaptım.
Miscellaneous,I'm bored.,Sıkıldım.
Miscellaneous,I'm going to America next year.,Gelecek sene Amerika'ya gideceğim.
Miscellaneous,I'm going to go have dinner.,Akşam yemeği yemeye gideceğim.
Miscellaneous,I'm tired.,Yorgunum.
Miscellaneous,"I'm very well, thank you.",Teşekkür ederim çok iyiyim.
Miscellaneous,I need another key.,Başka bir anahtara ihtiyacım var.
Miscellaneous,I need this to get there by tomorrow.,Yarına kadar oraya ulaşabilmem için buna ihtiyacım var.
Miscellaneous,I need to go now.,Şimdi gitmem gerek.
Miscellaneous,Is it suppose to rain tomorrow?,Yarın yağmur yağacak mı?
Miscellaneous,Is John there please? (phone call),John orada mı lütfen? (telefon görüşmesi)
Miscellaneous,Is this a safe area?,Burası güvenli bir alan mı?
Miscellaneous,Is this Mr. Smith?,Bu Bay Smith mi?
Miscellaneous,Is this the bus to New York?,Bu New York'a giden otobüs mü?
Miscellaneous,Is this your book?,Bu senin kitabın mı?
Miscellaneous,I still have to brush my teeth and take a shower.,Hala dişlerimi fırçalamam ve duş almam gerekiyor.
Miscellaneous,Is your father home?,Baban evde mi?
Miscellaneous,I think so.,Bence de.
Miscellaneous,I think those shoes are very good looking.,Bence bu ayakkabılar çok güzel görünüyor.
Miscellaneous,It's very windy.,Çok rüzgarlı.
Miscellaneous,It takes 2 hours by car.,Arabayla 2 saat sürüyor.
Miscellaneous,I've never done that.,Bunu hiç yapmadım.
Miscellaneous,I've worked there for five years.,Beş yıl orada çalıştım.
Miscellaneous,I want to buy something.,Bir şeyler almak istiyorum.
Miscellaneous,I want to contact our embassy.,Büyükelçiliğimizle iletişime geçmek istiyorum.
Miscellaneous,I want to send this package to the United States.,Bu paketi Amerika Birleşik Devletleri'ne göndermek istiyorum.
Miscellaneous,I want to show you something.,Sana bir şey göstermek istiyorum.
Miscellaneous,"I went to the supermarket, and then to the computer store.",Süpermarkete ve ardından bilgisayar mağazasına gittim.
Miscellaneous,My car isn't working.,Arabam çalışmıyor.
Miscellaneous,Nobody is helping us.,Kimse bize yardım etmiyor.
Miscellaneous,Nobody is there right now.,Şu anda kimse orada değil.
Miscellaneous,One like that.,Bunun gibi bir tane.
Miscellaneous,Open the door.,Kapıyı aç.
Miscellaneous,Open the window.,Pencereyi aç.
Miscellaneous,Pick up your clothes.,Elbiselerini topla.
Miscellaneous,Please.,Lütfen.
Miscellaneous,Please count this for me.,Lütfen bunu benim için sayın.
Miscellaneous,Please tell her John called.,Lütfen ona John'un aradığını söyleyin.
Miscellaneous,Please tell me.,Lütfen söyle.
Miscellaneous,Please wait for me.,Lütfen benim için bekle.
Miscellaneous,She's going with me tomorrow.,Yarın benimle geliyor.
Miscellaneous,Some books.,Bazı kitaplar.
Miscellaneous,Someone does that for me.,Birisi bunu benim için yapıyor.
Miscellaneous,Someone is coming.,Birisi geliyor.
Miscellaneous,"Sorry, I don't have a pencil.","Üzgünüm, kalemim yok."
Miscellaneous,Start the car.,Arabayı çalıştır.
Miscellaneous,Take me downtown.,Beni şehir merkezine götür.
Miscellaneous,Tell him that I need to talk to him.,Onunla konuşmam gerektiğini söyle.
Miscellaneous,That car over there is mine.,Oradaki araba benim.
Miscellaneous,That looks old.,Bu eski görünüyor.
Miscellaneous,That's a good school.,İyi bir okul.
Miscellaneous,That's her book.,Bu onun kitabı.
Miscellaneous,That's not enough.,Bu yeterli değil.
Miscellaneous,The car is fixed.,Araba sabitlendi.
Miscellaneous,These books are ours.,Bu kitaplar bizim.
Miscellaneous,The TV is broken.,Televizyon bozuldu.
Miscellaneous,They haven't met her yet.,Henüz onunla tanışmadılar.
Miscellaneous,They're planning to come next year.,Gelecek yıl gelmeyi planlıyorlar.
Miscellaneous,They're waiting for us.,Bizi bekliyorlar.
Miscellaneous,This room is a mess.,Bu oda tam bir karmaşa.
Miscellaneous,Those men are speaking English.,Bu adamlar İngilizce konuşuyor.
Miscellaneous,What color is that car?,Bu araba ne renk?
Miscellaneous,What do you think of these shoes?,Bu ayakkabılar hakkında ne düşünüyorsunuz?
Miscellaneous,When would you like to meet?,Ne zaman buluşmak istersin?
Miscellaneous,Where does your wife work?,Eşin nerede çalışıyor?
Miscellaneous,Where is Main Street?,Ana Cadde nerede?
Miscellaneous,Where is my shirt?,Gömleğim nerede?
Miscellaneous,Where is the bus station?,Otobüs durağı nerede?
Miscellaneous,Which road should I take?,Hangi yolu seçmeliyim?
Miscellaneous,You're right.,Haklısın.
Miscellaneous,Your house is very nice.,Eviniz çok güzel.
